"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"_C18n_QI6001",196270,39737,882744,25218,634803,87138,1717060,100237,4678655,712318,312868,270832,2841372,58476,1260787,1122886,293963,741298,2047361,1450832,785712,5888130,1274823,30054,765673,1069872,110374,3106030,1499173,2598774,1003492,1866998,785051,1466106,4874994,10923795,699088,1170388,2832706,38467,77372,34847,2943127,3821200,1631499,27775098,359054
"_C18n_QI11429",24259,5686,66901,3043,8750,123172,16394,2863,66940,1970,28876,537469,82671,143575,14195,38207,14849,30714,31064,24692,18968,82940,77883,19619,38993,11446,275967,59062,14631,225872,7209,11699,151309,20082,41017,55388,1576296,17192,5577,14355,6279,12816,75437,10449,33101,63799,103228
"_C18n_QI2981",34362,6724,53951,4153,82,1849324,10603,7465,628,1871,10255,1155251,166736,888024,2079,2962,9722,164,16468,45314,62796,6096,116563,7225,923,49796,173685,5252,6383,11927,164811,31821,1453,424,47898,147484,85381,51775,13516,177574,5536,33439,262,17328,41055,199,26843
"_C18n_QI10878",81637,12714,25967,338,7618,204,30548,70711,35066,4004,19351,419396,198933,809328,4545,17341,9863,9885,11251,2540555,3437,38309,69636,8092,11050,6540,569873,21503,32634,24800,3617,7588,946,22295,23527,71503,161800,6977,9141,8828,4976,21643,32228,1399,22135,486,61594
"_C18n_QI1513",113,247760,14756,9137,13196,2550,27799,4539,20890,14355,3796,62,399,95,2183,248744,68534,1709,15645,16801,3646,13326,1032,20973,202584,38468,32,25734,53926,36769,70492,3618,18548,1728,17104,3794,641,28601,31195,3761,2976,541,10977,23541,155,12034,7782
"_C18n_QI8071",85990,72410,122142,12549,12616,1999,35475,20679,8479,85296,9345,422146,369195,565574,95932,8301,24188,48160,56935,34881,28571,9045,4998,21241,11965,42510,1603876,15895,13005,7613,32868,8478,1161,54911,47410,22778,234433,257587,6942,27791,51405,29232,20369,5630,12868,14046,215089
"_C18n_QI11034",301492,12727,72707,30082,43069,24948,39521,6874,133361,9924,59642,10165131,873795,17176017,44102,74045,52101,46708,51112,69231,66941,456841,677858,30233,79172,21997,14898174,701425,75684,313816,18555,70894,8169,41101,135657,122253,14042220,16011,29739,36256,17986,39063,184016,11541,27848,51743,423640
"_C18n_QI10611",22217,1776,3669,2159,108296,10304,1600,235,607547,436,7701,76507,156437,1343493,4011,3916,9742,6792,2432,1521,50940,151752,722515,9375,1565,26162,2224324,4703,9646,26111,1874,27710,174,16979,72203,3534,45043,1726,779,1922,15670,7945,6423,5605,13718,1311,7743489
"_C18n_QI10977",337946,12946,71493,67856,39795,25912,22379,5388,76162,6889,51498,5024390,537227,11614366,46889,37191,17727,37580,51571,34745,96036,60246,311275,14286,31321,49700,14959400,141148,166307,117127,30977,35505,9330,20660,51690,37321,6377091,11522,21440,17296,33325,18187,52915,30227,84250,72038,62894
"_C18n_QI11452",145102,7468,14831,7759,25231,31344,16377,7434,24925,1369,29523,6988390,250243,9847461,10362,72244,40080,15987,13312,19036,19347,84736,106432,12917,60219,4666,30758192,20605,16636,138943,9747,18024,59351,6343,38962,32876,4490279,8298,14475,5018,3609,6983,55940,9559,22558,20660,76856
"_C18n_QI9091",8170,33693,4673,17595,4209,3309,21727,5728465,6735,11509,11079,21532,5850,14243,11321,35443,26010,36447,19947,1427866,32472,632,37568,173811,11911,22329,8756,6467,28242,3424,25996,24178,16581,18837,32783,10376,135358,25168,11268,433530,33536,408572,166772,3131,33349,56541,6537
"_C18n_QI9454",15644,11721,7787,31876,2111,91876,18020,154397,153664,6775,205498,191920,6376,3451,117706,3451528,444653,56788,22691,124011,55285,3177075,638440,16267,2060121,10469,11525,64047,120684,36692,21479,20746,882314,54003,53941,480140,207229,11373,189478,44250,45911,39474,25090,14182,392776,1197530,50149
"_C18n_QI8712",2755,4668,10344,70174,8910,5213,17790,6070,10855,8240,2767,65563,17550,20550,8628,9657,53029,28589,917863,2506092,14143,37586,24984,6170,5060297,10213,52659,28160,13888,9487,13324,17479,28,37244,88438838,56996,10556,43479,21908,4393,14797,7123,30455,751,769761,29799,1387
"_C18n_QI10976",304305,12032,18635,3889,26494,46106,6663,8164,61740,3656,12663,7580170,906347,8085640,21328,6664,4912,9557,5598,29136,7688,10889,391962,1587,9850,7120,8879180,18315,96053,82690,24171,15756,230,4039,25663,10356,3705823,4224,5699,1529,6306,10459,25166,8413,18097,44374,13380
"_C18n_QI11006",938282,248866,848027,155532,238536,199546,412692,160322,1203347,111376,690223,7379958,1735005,4421244,339395,707261,286835,804541,496823,730056,299258,2422139,646386,224523,581309,463850,6687206,1200002,616185,1019023,206858,456296,124801,324238,742710,829857,4223957,417284,366218,196745,252600,256709,1013301,239347,465030,1109592,722744
"_C18n_QI10975",101621,9707,126127,5649,224082,251392,5184,2526,134756,2571,21459,3208975,871469,1902669,680,2120,5508,9305,3397,38060,24709,13933,106474,7932,7104,2485,2260632,9321,43790,1056272,26601,63946,362,14012,1154413,45181,3206492,2395,24682,12449,16106,12532,254127,2244,94472,1444,229567
"_C18n_QI8991",356145,25115,28478,35872,154390,197426,6886,18465,42098,16348,36612,1149245,119155,1512872,35504,14791,37893,8034,17858,24461,9058,9173,76822,22339,32522,24804,1043857,15482,11270,167331,21738,46189,465,19760,8356,20304,499474,948,22752,19217,15171,17266,13261,10253,121087,10029,12261
"_C18n_QI10640",1266403,30629,39642,39428,530954,102441,13825,30995,1009402,77105,575092,162419,86302,2172446,28949,87137,64327,28936,19537,87703,26819,147168,190831,23947,31472,7533,2646117,12797,113061,179899,23137,117490,11833,134942,17271,97047,190208,8794,95831,134567,63220,189088,146933,20550,29713,3451,18397469
"_C18n_QI12174",2240961,26049,120673,25832,1252013,246244,12707,14354,1723235,2326,19664,230612,127691,5194634,103605,49987,26223,23106,24514,42680,33138,54486,713264,29945,19457,80922,6120569,2752,33832,783708,42591,145279,4213,16986,124811,34907,473575,75014,18890,32748,5324,6324,36974,200966,265517,8548,6540736
"_C18n_QI9288",54399783,99672,12088457,124530,275095,1684909,5347581,133279,1314738,141784,66019829,15080385,42541562,410307,10233110,14983016,3024839,3389083,1659169,41810982,11502681,61993484,31273538,128539,3275532,975643,158880,423165824,4538858,14304466,2784445,5290482,3232969,74412,2709201,19223516,10226711,1713540,10444295,37484,98755,28940,4970405,2716754,8760052,2653053,2971627
"_C18n_QI11314",62566,72841,19447,89649,271057,14427,38271,63680,12908,27428,1708,29576,8611,296,11327,15035,81016,93785,65590,19517,4084,8531,29504,71450,82499,43477,26160,526795,5151,10747,14058,19433,4088,61610,26635,7446,31968,8537,44446,20483,76265,14390,21934,12381,23100,22017,3183
"_C18n_QI10104",3302239,74379,6986,3027,32050,5360,10965,11144,56814,8450,11598,82504,557424,532533,5558,2939,65619,26155,12016,31492,64133,197990,179303,22414,4453,25876,106495,13460,15182,6960,33702,42799,438,40031,77961,512,44012,13883,3497,12119,58810,3783,12168,931,38328,40379,600884
"_C18n_QI11229",5195723,30811,1397198,83117,50481,717423,32846,66816,187877,38985,556160,3020729,4845147,125865,209961,63262,220462,59896,78498,292748,211667,27271,2131170,88521,88554,64175,65926,14250,193708,127847,108176,83374,939,86028,81126,29674,641279,20178,200887,53393,87507,38077,42253,188503,127448,286728,144555
"_C18n_QI11992",301418,6754,16153,29301,10424,50895,7300,7827,4409,8835,10609,227225,37623,925,32079,11391,9995,5911,14781,24049,13667,30277,24113,9014,9884,7481,742,11366,6612,12566,8836,7497,1682,33702,12232,27177,362179,1836,14525,12365,10741,5516,14750,4036,9339,5879,10968
"_C18n_QI11033",1171703,45777,204445,21300,419181,55841,113067,8655,552204,1037,115681,30718774,5537266,97030430,80524,45195,250870,76157,21952,328158,124344,1347685,1258930,31420,39618,138955,182824942,192995,114749,1727178,96493,246497,62132,27086,739712,306591,13861322,58298,123145,26508,16079,34472,953024,36242,134684,42863,2527587
"_C18n_QI11414",666241,1198150,343625,730360,753307,7490,784547,14089,204520,3110,9461,23802,72620,1129,30433,21665,86308,2496212,13359,26691,31489,310,47653,79409,27090,34086,2009,3659854,28827,22550,23561,41929,410,149421,11809,26955,2069,712262,43552,19325,62967,15574,14093,12347,11301,29342,1262
"_C18n_QI11056",403437,109645,336887,46210,88006,140288,172907,17152,150247,1938,184215,2305480,674915,5977334,189632,82482,612028,123219,46726,498432,208122,2099861,142936,43835,64485,76201,10214930,304974,187904,525116,266595,191221,244101,63296,172665,756808,1120608,113988,340113,30216,62691,108573,2289169,80383,97602,101970,269916
"_C18n_QI11032",153219,130512,526337,71877,576949,168472,117842,10217,439517,3250,137593,11751592,2561529,20734348,119341,24479,311081,89739,17097,317192,162881,281986,220457,16102,21668,54173,15626103,16092,169383,5402019,165870,794870,145052,79738,2402858,505121,3544941,77716,155455,62522,29092,52300,1663388,58752,303869,64430,1794914
"_C18n_QI11143",210832,37558,249747,96405,2793712,140033,42335,23779,551223,26394,77019,586690,63335,9780529,206351,15605,84404,34159,32793,165597,47504,100347,149215,43158,54547,79985,12258288,16736,80459,2239120,91921,280563,68862,25880,255115,42385,311684,102509,21258,161726,28873,17530,135515,325886,996450,14157,387730
"_C18n_QI2499",996430,41686,426997,66676,263158,32466,19492,96502,1204306,982,34297,12206419,4273603,36752324,27361,3333,2007,23871,6565,16445,21807,100493,3435699,19939,6735,111082,27545028,359031,1037780,702337,86694,64878,313,19037,921966,31077,9558242,41357,55343,40618,8018,6503,165046,7386,303741,9576,1496198
"_C18n_QI10501",1874715,88889,1028187,120762,547310,88151,158186,84658,2937352,1395,281601,18179551,8572184,81872110,231334,85756,249034,204746,30798,434353,149488,1039635,7504169,18296,85023,292944,57043884,1058906,2194774,1495893,272269,383482,83886,76006,1901211,439289,11754753,276576,356403,82979,33836,24642,980913,127998,638377,320112,3112220
"_C18n_QI11413",5616622,1456392,1527966,728667,654049,19169,601703,33574,571456,3575,12803,89405,57695,5134,68163,12201,119739,3706734,4401,5258,57548,32374,46881,92938,15778,38386,3065,27329566,22009,26851,8950,20642,2580,211330,18107,35359,126578,893151,39302,15411,77452,14449,12812,35628,5615,43242,31989
"_C18n_QI12005",9697442,38376,335141,52739,8727,626168,15945,27661,38551,19025,87755,1517534,1132142,8789,35112,47267,54810,22782,65265,84201,602994,158163,2195828,37388,36684,157633,2962,32073,343190,79010,165405,77436,10025,61238,35192,58335,2957213,6109,30376,32068,36382,28252,63372,21001,197466,136381,19837
"_C18n_QI10502",261633,1142,23250,2806,6013,353,13730,3157,113036,259,102286,948771,639957,1795643,3191,32251,2819,1623,1127,1962,4209,88348,158201,223,2233,14908,1254332,19604,84162,28648,3595,7015,403,1379,47126,6602,475564,1537,1850,1143,3055,4636,65293,444,36515,6207,58369
"_C18n_QI10080",187752,21757,106313,3199,22610,13799,15920,24762,11848,65817,43165,178569,4851,655599,10193,11221,47948,31515,41904,79828,27681,7962,55717,47141,12578,12051,1139065,21124,28374,27046,15831,43956,980,81488,44589,34484,856221,5649,7349,35023,75887,24340,12225,12514,30627,51114,166431
"_C18n_QI10482",183914,4561,168792,1722,9682,239,43524,2443,572928,154,185361,523741,600306,1513557,83695,142848,15571,309243,93808,46196,10602,1781526,169255,2771,160614,34304,1623748,300828,126356,270451,14830,22747,605,2226,122226,168524,447068,23971,19930,952,3811,12579,56288,17733,82984,342499,146437
"_C18n_QI7031",232838,33046,7631197,22513,8429,3112000,420233,47703,408807,24981,7979,364690,120331,58021,59373,91470,18622,11668,6871,335,375952,5235828,180210,20866,18675,46467,171430,607445,5856,227255,130800,27887,128012,117138,151585,238786,253986,1942,330995,45256,89044,21432,21159,20306,1584,389154,3593417
"_C18n_QI10989",74694323,7353589,3944213,1709282,3608102,883751,1169086,671381,2276055,71609,99759,223775,150917,14117,95731,144878,474917,5828626,180728,360305,161696,101232,219489,940347,160926,149688,15625,163937615,130560,60001,55705,184198,28678,676038,110773,92114,30880,500082,99250,114380,232323,110251,122599,22043,31943,302225,7574
"_C18n_QI8994",659645,20523,94174,9615,33320,22405,5968,26324,25616,24265,115309,670384,1744521,7128,9907,6089,50052,6078,8329,116401,16107,19490,238625,5860,20479,21963,85,6427,31261,107619,75131,77293,91,71735,20112,11229,45325,2397,34240,25394,13151,40535,9014,1266,65769,22004,44747
"_C18n_QI10404",7194560,10123,52455,51520,266567,278684,9553,25587,54881,28597,57342,8069650,4402482,316471,57885,2388,62395,19127,19068,82460,12586,2514,434239,28281,17462,65122,445816,20930,762642,184021,56444,135095,1168,36821,38168,46951,355612,6173,156641,15292,72845,53207,36508,7861,8461,8383,75009
"_C18n_QI11019",2665234,12969161,10418982,2362294,11889113,97236,1873497,1238274,2931250,90172,46684,445391,129418,34275,56340,88272,768534,13516804,194340,376342,81000,89622,272598,3193945,71293,160926,54225,13049641,94481,63008,39832,105110,44737,850089,87254,54811,28636,4253181,49312,80880,314344,53722,69741,8661,19917,282017,40202
"_C18n_QI11341",9184451,1083528,451793,118545,328452,14134,55236,52198,302047,3004,3939,6303,20100,4379,14283,30721,55531,293955,16750,31272,29779,18816,19156,149612,19877,35917,29392,550786,20961,18962,10946,10344,2252,3705,11869,22281,139350,189214,22103,6594,6643,2305,21484,10127,12821,9374,24021
"_C18n_QI10406",9382613,8957,155432,211466,466166,334199,105604,34863,229622,27567,1431664,10940518,5797647,711046,30342,24156,97307,26257,148675,82618,29950,57135,777005,71892,35177,95475,737163,12833,491758,223585,32556,162685,8683,67284,100114,37351,660433,13205,181980,90141,99031,105091,134075,14165,32372,29346,106897
"_C18n_QI9579",15773,2720466,1215231,378310,940782,20215,264775,135512,507007,7441,255,80904,1000,16,2079,3512,42645,560345,25664,66565,13047,662,18815,315064,9227,6339,11710,696862,480,2119,3010,1911,62410,63078,3492,527,3181,883608,1499,11861,52466,35165,8288,10342,2584,13501,6243
"_C18n_QI10930",3003133,149688559,60191204,21218059,47623968,118036,13164685,6920277,24984158,225397,124946,138188,102689,193908,65546,902608,166636,26789780,85740,98543,133512,195287,30583,14472490,78618,111313,140363,40459218,1082807,169840,60746,18738,1474266,18542,116206,123109,164429,42191025,41627,195821,16570,21528,163873,55414,84629,23411,148892
"_C18n_QI10987",5321141,254043097,200169663,52778006,224574111,272122,76739416,21924911,74300216,191522,97422,142360,151226,204549,53842,71697,320293,161300478,134378,55045,100118,252737,43372,40632428,93782,31641,47180,175059392,78377,69633,65609,15302,709181,69136,16996,149076,30707,139507923,28091,115992,49536,15464,165829,2480,168864,13819,31418
"_C18n_QI11074",157857,1822867,1522146,447701,1745840,91076,583052,175745,559807,9406,82156,127534,249743,29591,100986,70942,267635,1147794,51478,60849,29883,92402,132913,317504,145521,23238,14647,1316357,44212,76826,54946,77862,903,58105,33839,106516,69169,994501,222155,11787,20861,20717,73942,14194,44381,95534,93368
"_C18n_QI11409",1093964,25296728,10693470,3767657,11099940,4943,3153293,1527262,5258553,21408,709,114576,27881,20792,6266,22454,153528,7956502,41162,66193,53997,8084,63362,2876167,40774,115427,9180,10789090,33590,3706,30128,38833,21489,40243,31134,21751,147410,9518169,35483,82834,57148,4763,33636,5335,17622,69099,15305
"_C18n_QI10539",42158,6792498,1255623,1708216,1552609,25000,1065528,1448317,376110,11004,11722,454929,101509,481791,76616,70077,207182,7889686,147056,187249,32732,84353,136412,2847493,74771,84665,183443,5418199,104524,41749,35689,39708,127436,299400,43643,68317,137168,89053,36227,44235,86323,20292,26561,4135,12557,126433,107552
"_C18n_QI3309",67011,23984,30418,20327,20786,34801,14791,30042,32120,51067,90326,76270,28558,363048,34682,88297,10048,3736,17396,7233,48452,46011,50232,30627,17807,16719,173276,10424,32306,47118,39695,9407,400667,8331,26616,6289,465950,70325,5302,23013,23283,13616,36013,87337,58955,9178,51989
"_C18n_QI9450",373061,635781,844606,838722,359179,325310,799076,147247,671077,29045,368580,6977080,6827300,35928272,1525080,949864,279844,256777,328726,813439,363231,1150935,2317395,269762,267475,558127,36439748,512597,609787,702079,641986,2009645,24292,267074,2304156,360798,2498535,428277,165958,125520,12891,403652,921892,349972,3542467,402590,6350127
"_C18n_QI10890",29001,218545,25831,133799,38972,16719,89969,37843,52896,28172,28012,18683,34959,651,91291,129932,78390,308879,69324,123241,55036,257000,59985,113541,119254,22138,13692,2036395,34737,51296,54312,49293,19849,52737,44460,83453,71113,42396,19537,53701,27101,86645,65397,41173,32874,29241,44291
"_C18n_QI1778",24251,4020,11250,1582,5055,1534,9835,4824,11511,3076,79694,66520,14987,168790,19885,14441,2002,16531,4383,2290,11778,23438,17976,15892,10199,6605,36786,1356,8599,8842,20557,29915,6070,7180,3147,49548,86475,26837,43828,324,3115,2953,1995,19561,84775,53077,24486
"_C18n_QI11407",25429,859141,136760,102260,130685,3374,64733,18273,215091,42183,241,15845,55057,90179,38801,64490,67684,298253,46670,43849,37441,2052,21529,132750,2286,30477,18269,779959,24665,1060,8569,6332,17068,10036,30125,26023,69114,214826,58407,1614,21041,2111,40322,34246,11737,23886,13799
"_C18n_QI8354",843479,28244,21702,31852,79269,73057,23258,73743,18099,105593,394667,237150,80584,3211,26399,21041,237894,296622,6359,44702,19541,115214,56843,85701,14999,163085,1873930,42861,39752,50661,51925,169363,10456,390708,17376,45380,1202172,11262,62610,25301,199879,74651,17166,49062,220453,67430,27102
"_C18n_QI7371",558040,20846,10261,21302,8775,16651,4335,7124,6448,11704,61955,89154,227605,393554,7771,47654,20276,9155,4532,32461,2672,123473,58146,3667,3470,5708,235449,171969,26442,11195,8986,10844,306,60817,7984,13711,251171,20290,7113,6621,47204,18826,15730,1307,4760,25064,14592
"_C18n_QI8421",1907402,19855,52746,181264,319878,282662,21351,6731,64226,30894,604525,565271,211381,7137,39978,27883,39457,494483,11710,8883,39853,1108651,179554,784,54181,212777,2573475,191058,73615,67583,71673,134539,20891,46101,24961,39094,3600291,37513,157893,24202,98087,163655,9484,38633,520740,109061,19611
